name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,gpt_Clustering_Method,gpt_CHM,gpt_CHD,gpt_IFN,gpt_CMQ,gpt_ccoh,gpt_ccop,gpt_SMQ,gpt_scoh,gpt_scop,gpt_SERVICES,gpt_time,o_Clustering_Method,o_CHM,o_CHD,o_IFN,o_CMQ,o_ccoh,o_ccop,o_SMQ,o_scoh,o_scop,o_SERVICES,o_time
ElectiveTeam/elective_system,97,15,3692,4,0,JavaScript,1,0,ElectiveTeam,elective_system,KMeans_46,0.678932179,0.905048215,1.181818182,0.715067096,0.715217391,1.50E-04,0.24026087,0.25615942,0.015898551,46,355.9,KMeans_45,0.664021164,0.935920047,1.083333333,0.672201379,0.672380952,1.80E-04,0.281122335,0.306190476,0.025068142,45,115.27
75193982/HyLMS,535,141,13852,4,6,Java,0,0,75193982,HyLMS,KMeans_79,0.852444944,0.977119482,1.348484848,0.592809446,0.593016134,0.000206688,0.29687465,0.304045848,0.007171198,79,1555.88,KMeans_79,0.852034811,0.978718298,1.483333333,0.555963168,0.55617702,0.000213852,0.307423189,0.312746954,0.005323765,79,397.32
next-step/jwp-jdbc,117,16,2932,4,40,Java,7,1,next-step,jwp-jdbc,KMeans_27,1,1,1,0.925382099,0.925925926,0.000543827,0.096509972,0.12962963,0.033119658,27,173.12,KMeans_28,1,1,1,0.892241259,0.892857143,0.000615884,0.092592593,0.125,0.032407407,28,45.27
KongZouXiang/TradeSteward,232,40,13484,4,1,JavaScript,1,1,KongZouXiang,TradeSteward,KMeans_73,0.609745897,0.704873985,1,0.740145002,0.740182648,3.76E-05,0.294532703,0.325570776,0.031038073,73,597.07,KMeans_79,0.609745897,0.704873985,1,0.731615652,0.73164557,2.99E-05,0.285179325,0.308227848,0.023048523,79,148.1
skyisbule/nanfeng,71,13,5421,4,3,Java,0,2,skyisbule,nanfeng,KMeans_35,0.782051282,0.923076923,1,0.53082127,0.531428571,0.000607302,0.311890756,0.32,0.008109244,35,377.5,KMeans_33,0.782051282,0.923076923,1,0.55586619,0.556565657,0.000699466,0.309335543,0.317171717,0.007836174,33,142.05
mingslife/LightCMS,103,17,7736,4,0,JavaScript,1,0,mingslife,LightCMS,KMeans_48,0.596153846,0.72014652,1,0.951245064,0.951388889,0.000143825,0.117169031,0.163194444,0.046025414,48,274.62,KMeans_38,0.596153846,0.72014652,1,0.833068263,0.833333333,0.00026507,0.263394974,0.285087719,0.021692745,38,84.16
yaowuya/lprapm,105,26,57665,4,0,JavaScript,1,1,yaowuya,lprapm,KMeans_51,0.624890543,0.643526006,2.142857143,0.787472818,0.787581699,1.09E-04,0.220059913,0.24754902,0.027489107,51,343.57,KMeans_47,0.611685432,0.62325869,2.5,0.743832999,0.743971631,1.39E-04,0.234439562,0.260992908,0.026553346,47,113.53
yShen868/ssm03,94,14,2169,4,1,JavaScript,1,5,yShen868,ssm03,KMeans_44,0.60862451,0.747994017,1,0.673966421,0.674242424,2.76E-04,0.27011393,0.325757576,0.055643646,44,294.01,KMeans_46,0.60862451,0.747994017,1,0.666449159,0.666666667,2.18E-04,0.282112185,0.326086957,0.043974772,46,96.52
dagilmore/Riddlin,51,12,25836,4,0,Java,1,0,dagilmore,Riddlin,KMeans_21,1,0.638888889,1,0.904285714,0.904761905,0.00047619,0.16521164,0.277777778,0.112566138,21,177.58,KMeans_21,1,0.638888889,1,0.83446712,0.834920635,0.000453515,0.203108466,0.249206349,0.046097884,21,48.99
chenzhq/WsMonitor,246,16,4520,4,2,JavaScript,2,8,chenzhq,WsMonitor,KMeans_78,0.921296296,0.714880952,1.25,0.689392498,0.68942022,2.77E-05,0.253133647,0.260384006,0.007250359,78,783.8,KMeans_77,0.822222222,0.657857143,1.5,0.761611368,0.761636831,2.55E-05,0.211324144,0.221879757,0.010555614,77,206.66
parkkyoung/f4mall,59,15,15349,4,0,JavaScript,0,0,parkkyoung,f4mall,KMeans_15,0.975,1,1.076923077,0.691919879,0.695185185,0.003265306,0.275842152,0.306111111,0.030268959,15,232.95,KMeans_17,0.991071429,1,1,0.665597366,0.668300654,0.002703287,0.272126906,0.321078431,0.048951525,17,65.49
zhouweiwei18/HospitalSystem,210,29,30769,3,8,JavaScript,1,5,zhouweiwei18,HospitalSystem,KMeans_79,0.518821675,0.788476874,1.272727273,0.430891999,0.431002612,0.000110613,0.351914104,0.352601267,0.000687162,79,1068.07,KMeans_75,0.540908276,0.704151573,1.473684211,0.459846313,0.459970719,0.000124405,0.31135576,0.311673884,0.000318123,75,321.13
