name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,b_RESOLUTION,b_CHM,b_CHD,b_IFN,b_CMQ,b_ccoh,b_ccop,b_SMQ,b_scoh,b_scop,b_SERVICES,b_time,o_Clustering_Method,o_CHM,o_CHD,o_IFN,o_CMQ,o_ccoh,o_ccop,o_SMQ,o_scoh,o_scop,o_SERVICES,o_time,m_Clustering_Method,m_CHM,m_CHD,m_IFN,m_CMQ,m_ccoh,m_ccop,m_SMQ,m_scoh,m_scop,m_SERVICES,m_time
75193982/HyLMS,535,141,13852,4,6,Java,0,0,75193982,HyLMS,0.3,0.736208647,0.995535714,1.909090909,0.472797747,0.473547387,0.00074964,0.201199461,0.209291894,0.008092433,47,,KMeans_79,0.852034811,0.978718298,1.483333333,0.555963168,0.55617702,0.000213852,0.307423189,0.312746954,0.005323765,79,397.32,235,0.541677718,0.525500685,0,-0.000116303,0,0,0.013422544,0,0,235,7265.5
next-step/jwp-jdbc,117,16,2932,4,40,Java,7,1,next-step,jwp-jdbc,0.3,0.65,0.525,1.25,0.733126722,0.736111111,0.002984389,0.223242845,0.238888889,0.015646044,12,,KMeans_28,1,1,1,0.892241259,0.892857143,0.000615884,0.092592593,0.125,0.032407407,28,45.27,24,0.631890183,0.586335563,0,-0.000755923,0,0,0.063597775,0,0,24,297.49
KongZouXiang/TradeSteward,232,40,13484,4,1,JavaScript,1,1,KongZouXiang,TradeSteward,0.3,0.374876646,0.38928158,1.181818182,0.563149193,0.564492754,0.001343561,0.252090392,0.26435159,0.012261199,23,,KMeans_79,0.609745897,0.704873985,1,0.731615652,0.73164557,2.99E-05,0.285179325,0.308227848,0.023048523,79,148.1,88,0.46305612,0.549811095,0,-5.94E-05,0,0,0.059035796,0,0,88,918.67
skyisbule/nanfeng,71,13,5421,4,3,Java,0,2,skyisbule,nanfeng,0.3,0.572979798,0.199350649,1,0.239805538,0.249057239,0.009251701,0.222207792,0.222633478,0.000425685,15,,KMeans_33,0.782051282,0.923076923,1,0.55586619,0.556565657,0.000699466,0.309335543,0.317171717,0.007836174,33,142.05,19,0.466277392,0.513229783,0,-0.002298693,0,0,0.046388076,0,0,19,206.15
mingslife/LightCMS,103,17,7736,4,0,JavaScript,1,0,mingslife,LightCMS,0.3,0.543542569,0.116738817,1.181818182,0.412055621,0.418253968,0.006198347,-0.066777898,0.220800265,0.287578163,12,,KMeans_38,0.596153846,0.72014652,1,0.833068263,0.833333333,0.00026507,0.263394974,0.285087719,0.021692745,38,84.16,49,0.616002419,0.627302285,0,-0.002565441,0,0,0.04040031,0,0,49,319.48
yaowuya/lprapm,105,26,57665,4,0,JavaScript,1,1,yaowuya,lprapm,0.3,0.646682164,0.801810369,1.153846154,0.403574247,0.404848485,0.001274238,0.283952975,0.302651515,0.01869854,20,,KMeans_47,0.611685432,0.62325869,2.5,0.743832999,0.743971631,1.39E-04,0.234439562,0.260992908,0.026553346,47,113.53,33,0.575421983,0.634909956,0,-0.000303327,0,0,0.020554495,0,0,33,312.35
yShen868/ssm03,94,14,2169,4,1,JavaScript,1,5,yShen868,ssm03,0.3,0.47686455,0.699064064,1.090909091,0.429365079,0.433174603,0.003809524,0.286952475,0.303730159,0.016777683,15,,KMeans_46,0.60862451,0.747994017,1,0.666449159,0.666666667,2.18E-04,0.282112185,0.326086957,0.043974772,46,96.52,20,0.354373939,0.502677487,0,-3.61E-05,0,0,0.05677133,0,0,20,272.82
dagilmore/Riddlin,51,12,25836,4,0,Java,1,0,dagilmore,Riddlin,0.3,0.681709402,0.578479854,2.2,0.524297521,0.527272727,0.002975207,0.246909091,0.328787879,0.081878788,11,,KMeans_21,1,0.638888889,1,0.83446712,0.834920635,0.000453515,0.203108466,0.249206349,0.046097884,21,48.99,15,0.48402214,0.605125607,0,-0.000279669,0,0,0.056793698,0,0,15,113.91
chenzhq/WsMonitor,246,16,4520,4,2,JavaScript,2,8,chenzhq,WsMonitor,0.3,0.870077145,0.49132654,1.5,0.321483931,0.32274417,0.001260239,0.127673799,0.143053717,0.015379918,24,,KMeans_77,0.822222222,0.657857143,1.5,0.761611368,0.761636831,2.55E-05,0.211324144,0.221879757,0.010555614,77,206.66,73,0.57545311,0.610122349,0,-0.000409104,0,0,0.01875514,0,0,73,1170.83
parkkyoung/f4mall,59,15,15349,4,0,JavaScript,0,0,parkkyoung,f4mall,0.3,0.714443683,0.737904762,1.142857143,0.491622575,0.503968254,0.012345679,0.266619268,0.336904762,0.070285494,9,,KMeans_17,0.991071429,1,1,0.665597366,0.668300654,0.002703287,0.272126906,0.321078431,0.048951525,17,65.49,14,0.374502993,0.261804344,0,0.000295692,0,0,0.061467397,0,0,14,143.64
zhouweiwei18/HospitalSystem,210,29,30769,3,8,JavaScript,1,5,zhouweiwei18,HospitalSystem,0.3,0.419678932,0.836765615,1,0.22164846,0.223070935,0.001422475,0.175418955,0.175807891,0.000388936,38,,KMeans_75,0.540908276,0.704151573,1.473684211,0.459846313,0.459970719,0.000124405,0.31135576,0.311673884,0.000318123,75,321.13,91,0.612408629,0.625395762,0,-0.00036737,0,0,0.016243151,0,0,91,1164.65
uq-eresearch/lorestore,85,11,2095,3,3,JavaScript,3,12,uq-eresearch,lorestore,0.3,0.676085026,0.026556777,1,0.367094017,0.369230769,0.002136752,0.135505698,0.216666667,0.081160969,13,,KMeans_35,0.458333333,0.25,1,0.942690488,0.942857143,0.000166655,-0.09789916,0.028571429,0.126470588,35,47.77,30,0.606751348,0.5963425,0,-0.000453834,0,0,0.044801247,0,0,30,246.95
isa-group/ideas-studio,115,20,9401,3,5,JavaScript,11,100,isa-group,ideas-studio,0.3,0.661980049,0.47400864,1.5,0.391994048,0.393452381,0.001458333,0.213622272,0.333630952,0.120008681,16,,KMeans_36,0.797830688,0.620911681,1.066666667,0.87952381,0.87962963,0.00010582,0.166402116,0.222222222,0.055820106,36,89.62,31,0.498066875,0.614881094,0,-0.000576594,0,0,0.056875241,0,0,31,355.29
smartcommunitylab/smartcampus.vas.corsi.web,65,13,1828,3,0,JavaScript,33,0,smartcommunitylab,smartcampus.vas.corsi.web,0.3,0.383523547,0.864771642,1.090909091,0.374892324,0.381292517,0.006400193,0.26984454,0.364115646,0.094271106,14,,KMeans_29,0.561721612,0.893627052,1,0.729387593,0.729885058,0.000497464,1.39E-01,2.61E-01,1.23E-01,29,88.36,18,0.497987135,0.680289119,0,-0.001596326,0,0,0.021089375,0,0,18,168.5
